image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
147,23,23,13,0.5652,0.5652,0.5652,0.3939,22,22,12,0.5455,0.5455,0.5455,0.375,45,45,25,0.5556,0.5556,0.5556,0.3846
148,15,14,13,0.9286,0.8667,0.8966,0.8125,12,12,8,0.6667,0.6667,0.6667,0.5,27,26,21,0.8077,0.7778,0.7925,0.6562
153,17,17,11,0.6471,0.6471,0.6471,0.4783,19,19,12,0.6316,0.6316,0.6316,0.4615,36,36,23,0.6389,0.6389,0.6389,0.4694
163,17,18,9,0.5,0.5294,0.5143,0.3462,16,17,10,0.5882,0.625,0.6061,0.4348,33,35,19,0.5429,0.5758,0.5588,0.3878
166,17,17,9,0.5294,0.5294,0.5294,0.36,16,16,9,0.5625,0.5625,0.5625,0.3913,33,33,18,0.5455,0.5455,0.5455,0.375
170,23,23,13,0.5652,0.5652,0.5652,0.3939,22,22,12,0.5455,0.5455,0.5455,0.375,45,45,25,0.5556,0.5556,0.5556,0.3846
171,22,22,16,0.7273,0.7273,0.7273,0.5714,20,20,9,0.45,0.45,0.45,0.2903,42,42,25,0.5952,0.5952,0.5952,0.4237
174,17,20,12,0.6,0.7059,0.6486,0.48,16,16,8,0.5,0.5,0.5,0.3333,33,36,20,0.5556,0.6061,0.5797,0.4082
192,29,29,27,0.931,0.931,0.931,0.871,23,23,14,0.6087,0.6087,0.6087,0.4375,52,52,41,0.7885,0.7885,0.7885,0.6508
193,29,29,1,0.0345,0.0345,0.0345,0.0175,26,29,0,0.0,0.0,0,0.0,55,58,1,0.0172,0.0182,0.0177,0.0089
198,11,11,7,0.6364,0.6364,0.6364,0.4667,7,7,4,0.5714,0.5714,0.5714,0.4,18,18,11,0.6111,0.6111,0.6111,0.44
203,38,35,1,0.0286,0.0263,0.0274,0.0139,30,29,0,0.0,0.0,0,0.0,68,64,1,0.0156,0.0147,0.0152,0.0076
204,23,23,20,0.8696,0.8696,0.8696,0.7692,23,23,14,0.6087,0.6087,0.6087,0.4375,46,46,34,0.7391,0.7391,0.7391,0.5862
212,20,20,13,0.65,0.65,0.65,0.4815,19,19,12,0.6316,0.6316,0.6316,0.4615,39,39,25,0.641,0.641,0.641,0.4717
215,20,20,19,0.95,0.95,0.95,0.9048,17,17,10,0.5882,0.5882,0.5882,0.4167,37,37,29,0.7838,0.7838,0.7838,0.6444
222,17,17,15,0.8824,0.8824,0.8824,0.7895,16,16,10,0.625,0.625,0.625,0.4545,33,33,25,0.7576,0.7576,0.7576,0.6098
224,27,27,26,0.963,0.963,0.963,0.9286,25,25,16,0.64,0.64,0.64,0.4706,52,52,42,0.8077,0.8077,0.8077,0.6774
229,17,17,15,0.8824,0.8824,0.8824,0.7895,16,16,10,0.625,0.625,0.625,0.4545,33,33,25,0.7576,0.7576,0.7576,0.6098
233,22,20,20,1.0,0.9091,0.9524,0.9091,20,20,12,0.6,0.6,0.6,0.4286,42,40,32,0.8,0.7619,0.7805,0.64
238,38,36,1,0.0278,0.0263,0.027,0.0137,33,35,0,0.0,0.0,0,0.0,71,71,1,0.0141,0.0141,0.0141,0.0071
239,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
244,30,29,1,0.0345,0.0333,0.0339,0.0172,11,29,0,0.0,0.0,0,0.0,41,58,1,0.0172,0.0244,0.0202,0.0102
