image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
457,24,24,16,0.6667,0.6667,0.6667,0.5,23,23,12,0.5217,0.5217,0.5217,0.3529,47,47,28,0.5957,0.5957,0.5957,0.4242
470,21,21,14,0.6667,0.6667,0.6667,0.5,19,19,12,0.6316,0.6316,0.6316,0.4615,40,40,26,0.65,0.65,0.65,0.4815
497,22,19,9,0.4737,0.4091,0.439,0.2812,21,21,5,0.2381,0.2381,0.2381,0.1351,43,40,14,0.35,0.3256,0.3373,0.2029
498,14,14,9,0.6429,0.6429,0.6429,0.4737,12,12,8,0.6667,0.6667,0.6667,0.5,26,26,17,0.6538,0.6538,0.6538,0.4857
520,25,23,12,0.5217,0.48,0.5,0.3333,23,22,13,0.5909,0.5652,0.5778,0.4062,48,45,25,0.5556,0.5208,0.5376,0.3676
521,29,29,17,0.5862,0.5862,0.5862,0.4146,28,28,17,0.6071,0.6071,0.6071,0.4359,57,57,34,0.5965,0.5965,0.5965,0.425
525,12,12,8,0.6667,0.6667,0.6667,0.5,10,10,6,0.6,0.6,0.6,0.4286,22,22,14,0.6364,0.6364,0.6364,0.4667
542,17,17,11,0.6471,0.6471,0.6471,0.4783,15,15,10,0.6667,0.6667,0.6667,0.5,32,32,21,0.6562,0.6562,0.6562,0.4884
548,17,17,6,0.3529,0.3529,0.3529,0.2143,16,16,8,0.5,0.5,0.5,0.3333,33,33,14,0.4242,0.4242,0.4242,0.2692
556,11,11,7,0.6364,0.6364,0.6364,0.4667,7,7,4,0.5714,0.5714,0.5714,0.4,18,18,11,0.6111,0.6111,0.6111,0.44
562,23,17,12,0.7059,0.5217,0.6,0.4286,19,19,6,0.3158,0.3158,0.3158,0.1875,42,36,18,0.5,0.4286,0.4615,0.3
563,20,20,13,0.65,0.65,0.65,0.4815,18,18,12,0.6667,0.6667,0.6667,0.5,38,38,25,0.6579,0.6579,0.6579,0.4902
576,33,33,24,0.7273,0.7273,0.7273,0.5714,24,24,16,0.6667,0.6667,0.6667,0.5,57,57,40,0.7018,0.7018,0.7018,0.5405
577,23,16,14,0.875,0.6087,0.7179,0.56,19,22,6,0.2727,0.3158,0.2927,0.1714,42,38,20,0.5263,0.4762,0.5,0.3333
580,20,20,13,0.65,0.65,0.65,0.4815,18,18,12,0.6667,0.6667,0.6667,0.5,38,38,25,0.6579,0.6579,0.6579,0.4902
589,14,10,9,0.9,0.6429,0.75,0.6,12,12,4,0.3333,0.3333,0.3333,0.2,26,22,13,0.5909,0.5,0.5417,0.3714
591,23,16,12,0.75,0.5217,0.6154,0.4444,19,20,6,0.3,0.3158,0.3077,0.1818,42,36,18,0.5,0.4286,0.4615,0.3
598,23,17,8,0.4706,0.3478,0.4,0.25,15,17,4,0.2353,0.2667,0.25,0.1429,38,34,12,0.3529,0.3158,0.3333,0.2
