image,node_label_triples,node_output_triples,node_overlap_triples,node_precision,node_recall,node_f1,node_jaccard,edge_label_triples,edge_output_triples,edge_overlap_triples,edge_precision,edge_recall,edge_f1,edge_jaccard,overall_label_triples,overall_output_triples,overall_overlap_triples,overall_precision,overall_recall,overall_f1,overall_jaccard
652,33,29,1,0.0345,0.0303,0.0323,0.0164,12,28,0,0.0,0.0,0,0.0,45,57,1,0.0175,0.0222,0.0196,0.0099
655,17,17,14,0.8235,0.8235,0.8235,0.7,16,16,16,1.0,1.0,1.0,1.0,33,33,30,0.9091,0.9091,0.9091,0.8333
663,17,17,17,1.0,1.0,1.0,1.0,16,16,16,1.0,1.0,1.0,1.0,33,33,33,1.0,1.0,1.0,1.0
672,17,17,15,0.8824,0.8824,0.8824,0.7895,18,18,18,1.0,1.0,1.0,1.0,35,35,33,0.9429,0.9429,0.9429,0.8919
684,26,26,22,0.8462,0.8462,0.8462,0.7333,26,26,26,1.0,1.0,1.0,1.0,52,52,48,0.9231,0.9231,0.9231,0.8571
692,24,24,23,0.9583,0.9583,0.9583,0.92,22,22,21,0.9545,0.9545,0.9545,0.913,46,46,44,0.9565,0.9565,0.9565,0.9167
699,24,24,24,1.0,1.0,1.0,1.0,22,22,22,1.0,1.0,1.0,1.0,46,46,46,1.0,1.0,1.0,1.0
701,12,12,12,1.0,1.0,1.0,1.0,10,10,10,1.0,1.0,1.0,1.0,22,22,22,1.0,1.0,1.0,1.0
706,23,23,13,0.5652,0.5652,0.5652,0.3939,22,22,17,0.7727,0.7727,0.7727,0.6296,45,45,30,0.6667,0.6667,0.6667,0.5
709,25,25,20,0.8,0.8,0.8,0.6667,23,23,21,0.913,0.913,0.913,0.84,48,48,41,0.8542,0.8542,0.8542,0.7455
728,17,17,16,0.9412,0.9412,0.9412,0.8889,11,11,11,1.0,1.0,1.0,1.0,28,28,27,0.9643,0.9643,0.9643,0.931
731,24,24,14,0.5833,0.5833,0.5833,0.4118,22,22,15,0.6818,0.6818,0.6818,0.5172,46,46,29,0.6304,0.6304,0.6304,0.4603
735,11,11,7,0.6364,0.6364,0.6364,0.4667,9,9,9,1.0,1.0,1.0,1.0,20,20,16,0.8,0.8,0.8,0.6667
